Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-1833.242	-2113.755	280.5131	0.489479	0.424361	0.00975266	0.076407	1.322678	1.116418	4.422387	1.669054
6	-1819.336	-2098.951	279.6149	0.691709	0.186534	0.013782	0.107975	1.460186	1.202855	4.550612	2.277897
12	-1828.1	-2108.801	280.7014	0.381143	0.534769	0.0075941	0.0764936	0.9706236	1.216667	4.562883	1.432935
18	-1810.455	-2091.22	280.7649	0.56715	0.353592	0.0150434	0.0642141	1.285686	1.174534	4.053598	2.155627
24	-1808.128	-2088.354	280.2257	0.651422	0.292928	0.0172787	0.0383714	1.285686	1.30496	4.130007	2.554252
30	-1811.806	-2091.748	279.9424	0.582579	0.261971	0.0167151	0.138735	1.77899	1.041546	4.202005	2.551207
36	-1796.827	-2078.198	281.3711	0.511924	0.319948	0.0462183	0.121909	1.654475	1.202598	3.807582	1.489322
42	-1821.126	-2101.358	280.2312	0.539606	0.301904	0.0756729	0.0828166	1.683471	1.275425	4.401691	1.489322
48	-1824.739	-2107.428	282.6891	0.651789	0.209313	0.0524647	0.0864332	2.638745	1.478997	2.387329	1.563143
54	-1802.898	-2085.237	282.3388	0.580282	0.27866	0.0474498	0.0936082	1.210851	1.567696	3.106749	1.79876
60	-1808.672	-2089.865	281.1935	0.540496	0.259555	0.124037	0.0759127	1.298378	1.324743	3.946963	1.633385
66	-1810.325	-2091.236	280.9108	0.426332	0.406491	0.0756392	0.0915384	1.298378	1.432923	4.26762	1.194584
72	-1807.244	-2086.28	279.0363	0.414391	0.32829	0.0504562	0.206863	1.46147	1.203745	5.121196	1.687367
78	-1817.573	-2099.157	281.5835	0.404191	0.354175	0.0398628	0.201771	1.121262	1.143302	4.055299	1.365118
84	-1817.87	-2099.948	282.0777	0.429764	0.319411	0.140711	0.110115	0.735131	1.31563	3.795402	1.57145
90	-1820.842	-2103.163	282.3218	0.641808	0.168319	0.136186	0.0536872	1.368336	1.495192	2.986992	1.986432
96	-1813.02	-2093.895	280.8752	0.676676	0.150787	0.12388	0.0486564	2.140927	1.396017	3.004765	3.372819
102	-1805.719	-2088.748	283.0284	0.590278	0.192721	0.155805	0.0611954	1.554751	1.396017	2.389686	2.26318
108	-1813.431	-2097.804	284.3731	0.50981	0.298566	0.142961	0.0486627	1.045319	1.735876	2.151911	1.218204
114	-1798.503	-2083.173	284.6707	0.463329	0.374666	0.131895	0.0301097	1.045319	1.439379	2.237612	1.078892
120	-1799.958	-2083.555	283.5972	0.520995	0.271571	0.148311	0.0591235	1.753	1.671516	2.270086	1.247049
126	-1802.442	-2085.749	283.3073	0.324702	0.618911	0.0310054	0.0253813	1.215627	1.604199	2.847673	1.136172
132	-1797.084	-2079.482	282.3981	0.68952	0.186326	0.0215756	0.102579	1.215627	1.288274	3.402991	1.455219
138	-1790.292	-2072.157	281.8654	0.586318	0.254803	0.0424042	0.116475	1.565753	1.528617	3.061138	2.158963
144	-1796.674	-2077.607	280.9325	0.674982	0.155285	0.0552463	0.114487	1.316432	1.278327	4.003602	1.87244
150	-1800.028	-2077.71	277.6819	0.681286	0.147395	0.0557623	0.115557	1.953127	1.137453	5.07402	3.331149
156	-1796.118	-2078.23	282.1119	0.701916	0.152657	0.0224069	0.12302	1.440079	1.298119	3.368231	1.609482
162	-1801.2	-2081.932	280.7326	0.685731	0.106718	0.0211606	0.186391	1.708091	1.171236	3.820305	2.2649
168	-1805.071	-2087.194	282.1234	0.668516	0.106492	0.0229388	0.202054	1.327999	1.099695	3.370776	1.964765
174	-1812.547	-2095.169	282.6228	0.766973	0.0645242	0.0339542	0.134548	1.132293	1.271711	3.02932	2.082254
180	-1802.774	-2081.833	279.0589	0.717368	0.0597862	0.098178	0.124668	2.050586	1.117301	4.680767	2.186059
186	-1816.726	-2097.854	281.1274	0.717368	0.0597862	0.098178	0.124668	2.713858	1.318491	3.115094	2.186059
192	-1804.582	-2085.014	280.4321	0.644682	0.116655	0.0489667	0.189696	1.110248	1.254777	4.278741	2.186059
198	-1814.972	-2096.972	281.9997	0.658258	0.146915	0.0695184	0.125308	1.174736	1.113173	3.641841	1.694905
204	-1799.02	-2077.878	278.8582	0.587123	0.305931	0.087668	0.0192785	1.471016	1.319207	5.196067	1.58972
210	-1799.563	-2081.481	281.9178	0.507933	0.213954	0.225405	0.0527085	1.132444	1.345329	3.578591	1.693907
216	-1790.697	-2071.618	280.9208	0.549421	0.144941	0.243816	0.0618219	1.239805	1.338358	4.258281	1.363006
222	-1803.918	-2083.396	279.4779	0.389736	0.542306	0.0321513	0.0358065	1.092372	1.032303	5.182434	1.638307
228	-1804.673	-2085.33	280.6571	0.385091	0.535843	0.0317681	0.0472981	0.8927464	1.099648	4.811217	1.209673
234	-1808.012	-2087.554	279.5423	0.509133	0.422151	0.0487601	0.0199557	1.259233	1.115543	5.131816	1.388425
240	-1820.636	-2101.819	281.1831	0.471065	0.192217	0.116823	0.219895	1.325047	1.190284	3.731105	2.285235
246	-1827.277	-2109.094	281.817	0.524131	0.240924	0.145285	0.0896601	0.9360326	1.326601	3.810854	1.588069
252	-1825.991	-2105.432	279.4411	0.464377	0.283091	0.111387	0.141146	1.452177	1.246196	4.939935	1.55215
258	-1816.753	-2098.661	281.9081	0.622482	0.111863	0.173935	0.0917201	1.485614	1.582376	3.426382	1.356534
264	-1807.194	-2090.359	283.1647	0.540978	0.257664	0.131837	0.0695209	1.099011	1.516231	2.992494	1.243939
270	-1818.395	-2099.716	281.3205	0.498263	0.259647	0.205139	0.0369513	1.655706	1.200108	3.789663	1.586766
276	-1822.796	-2104.152	281.3558	0.588473	0.291573	0.0636733	0.0562806	1.046283	1.26987	4.07731	1.519842
282	-1809.821	-2092.048	282.227	0.520314	0.338833	0.0279443	0.112909	1.126499	1.289882	3.45814	1.643507
288	-1823.802	-2106.483	282.6812	0.674745	0.158501	0.0362382	0.130516	1.381113	1.396353	2.986248	1.643507
294	-1825.802	-2107.348	281.5457	0.561128	0.200299	0.0948762	0.143697	1.110691	1.400748	3.923917	1.387934
300	-1826.323	-2108.578	282.2552	0.578823	0.220032	0.0134784	0.187666	1.065534	1.282801	3.231675	2.194414
306	-1808.605	-2091.547	282.9418	0.620377	0.16965	0.0295835	0.180389	1.061998	1.312096	2.790604	2.226711
312	-1806.118	-2089.28	283.1615	0.648381	0.102632	0.163027	0.0859605	0.9587037	1.376359	2.694855	2.192422
318	-1820.66	-2102.62	281.9599	0.578143	0.196247	0.148961	0.0766486	0.9346137	1.267768	3.524583	2.114399
324	-1828.884	-2107.387	278.5028	0.837864	0.0389888	0.0163968	0.106751	1.163434	1.238478	5.026847	3.045697
330	-1808.992	-2089.039	280.0475	0.788187	0.0366771	0.074714	0.100421	1.164842	1.055804	4.549451	2.257869
336	-1816.292	-2096.907	280.6156	0.75922	0.00706224	0.110223	0.123495	0.9761244	1.074357	4.331004	2.238097
342	-1801.498	-2082.303	280.8056	0.806487	0.0271989	0.0815612	0.0847528	1.483036	1.208569	3.925638	2.118233
348	-1798.677	-2078.006	279.3292	0.80587	0.0271781	0.0822634	0.084688	1.595302	1.26559	4.405303	2.833186
354	-1802.828	-2083.277	280.4496	0.776622	0.100061	0.0470944	0.0762226	1.107321	1.252372	3.949529	3.057056
360	-1804.383	-2085.816	281.4334	0.627498	0.128701	0.110028	0.133773	1.580407	1.34375	3.627875	1.690845
366	-1820.98	-2102.62	281.6399	0.613986	0.128037	0.124894	0.133083	1.435245	1.585088	3.131658	2.39178
372	-1800.21	-2081.315	281.1049	0.601808	0.124088	0.153193	0.120912	1.733572	1.28787	3.515681	2.288577
378	-1798.992	-2079.401	280.409	0.632705	0.120465	0.14872	0.0981096	2.13478	1.251108	3.715082	2.407686
384	-1807.09	-2086.84	279.7499	0.371448	0.403357	0.199208	0.0259875	2.23868	1.488681	4.511615	1.108227
390	-1807.388	-2087.705	280.3167	0.35144	0.531259	0.0954068	0.0218949	1.538421	1.203327	4.57176	1.271732
396	-1803.058	-2085.977	282.9191	0.375603	0.530834	0.0808561	0.0127075	1.031005	1.277834	3.281291	1.31475
402	-1798.059	-2080.587	282.5279	0.564817	0.384477	0.0379177	0.0127883	1.278133	1.360438	3.434128	1.114783
408	-1806.093	-2089.057	282.9634	0.547249	0.206989	0.223681	0.0220808	1.278133	1.180256	3.113077	1.427234
